CÓDIGOS ÚNICOS DE MEDIDA,MEDIDAS IMPUESTAS,COORDINACIÓN,N° DOC DE DICTADO DE MEDIDA ADMINISTRATIVA (RESOLUCION/ACTA),TIPO DOC DE DICTADO DE MEDIDA ADMINISTRATIVA,FECHA DE DOCUMENTO QUE DICTA MEDIDA ADMINISTRATIVA,FECHA DE NOTIFICACIÓN DEL DOC QUE DICTA MEDIDA ADMINISTRATIVA,ORIGEN DE LA MEDIDA ADMINISTRATIVA,CÓDIGO /NÚMERO DE DOCUMENTO DE ORIGEN,N° DE EXPEDIENTE,ADMINISTRADO,UNIDAD FISCALIZABLE
0221-2022/ACTA 0004-CMIN,0221-2022/ACTA 0004-CMIN,CMIN,ACTA 0004-2022-OEFA/DSEM-CMIN,ACTA,2/11/2022,2/11/2022,IMPUESTA EN CAMPO,ACTA 0004-2022-OEFA/DSEM-CMIN,0221-2022-DSEM-CMIN,COMPAÑIA MINERA ANTAPACCAY S.A.,ANTAPACCAY - EXPANSIÓN TINTAYA
0043-2023/ACTA 0001-CMIN,0043-2023/ACTA 0001-CMIN,CMIN,ACTA 0001-2023-OEFA/DSEM-CMIN,ACTA,10/4/2023,10/4/2023,IMPUESTA EN CAMPO,ACTA 0001-2023-OEFA/DSEM-CMIN,0043-2023-DSEM-CMIN,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,EL COFRE
0137-2023/ACTA 0002-CMIN,0137-2023/ACTA 0002-CMIN,CMIN,ACTA 0002-2023-OEFA/DSEM-CMIN,ACTA,5/9/2023,5/9/2023,IMPUESTA EN CAMPO,ACTA 0002-2023-OEFA/DSEM-CMIN,"0137-2023-DSEM-CMIN",ACTIVOS MINEROS S.A.C.,PASIVOS AMBIENTALES MINEROS DE LA EX UNIDAD MINERA CARIDAD
0046-2024/ACTA 0001-CMIN,0046-2024/ACTA 0001-CMIN,CMIN,ACTA 0001-2024-OEFA/DSEM-CMIN,ACTA,14/6/2024,14/6/2024,IMPUESTA EN CAMPO,ACTA 0001-2024-OEFA/DSEM-CMIN,0046-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0098-2024/ACTA 0002-CMIN,0098-2024/ACTA 0002-CMIN,CMIN,ACTA 0002-2024-OEFA/DSEM-CMIN,ACTA,20/7/2024,20/7/2024,IMPUESTA EN CAMPO,ACTA 0002-2024-OEFA/DSEM-CMIN,0098-2024-DSEM-CMIN,ACTIVOS MINEROS S.A.C.,PASIVOS AMBIENTALES MINEROS DE LA EX UNIDAD MINERA CARHUACAYÁN
0139-2024/ACTA 0003-CMIN,0139-2024/ACTA 0003-CMIN,CMIN,ACTA 0003-2024-OEFA/DSEM-CMIN,ACTA,1/9/2024,1/9/2024,IMPUESTA EN CAMPO,ACTA 0003-2024-OEFA/DSEM-CMIN,0139-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0139-2024/ACTA 0004-CMIN,0139-2024/ACTA 0004-CMIN,CMIN,ACTA 0004-2024-OEFA/DSEM-CMIN,ACTA,1/9/2024,1/9/2024,IMPUESTA EN CAMPO,ACTA 0004-2024-OEFA/DSEM-CMIN,0139-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0119-2024/ACTA 0005-CMIN,0119-2024/ACTA 0005-CMIN,CMIN,ACTA 0005-2024-OEFA/DSEM-CMIN,ACTA,5/10/2024,5/10/2024,IMPUESTA EN CAMPO,ACTA 0005-2024-OEFA/DSEM-CMIN,0119-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0119-2024/ACTA 0006-CMIN,0119-2024/ACTA 0006-CMIN,CMIN,ACTA 0006-2024-OEFA/DSEM-CMIN,ACTA,25/10/2024,25/10/2024,IMPUESTA EN CAMPO,ACTA 0006-2024-OEFA/DSEM-CMIN,0119-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0119-2024/ACTA 0007-CMIN,0119-2024/ACTA 0007-CMIN,CMIN,ACTA 0007-2024-OEFA/DSEM-CMIN,ACTA,16/11/2024,16/11/2024,IMPUESTA EN CAMPO,ACTA 0007-2024-OEFA/DSEM-CMIN,0119-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
